code,rating
22001018173P4,3
24009016005P0,4
30001013007P0,5
31003010046P4,7
52001016027P2,5
32005016034P8,4
32004010027P9,4
20001010049P6*,4
20001010022P0,4
32001010004P6,7
51001012012P2,4
50001019179P1,3
32007019023P9,5
15001016047P9,6
24001015047P4,4
25001019004P6,7
42003016038P9,6
21001014031P2,4
40001016034P5,6
42001013004P4,7
31001017004P3,6
31001017110P8,4
23001011022P9,4
25003011032P2,4
27001016029P4,4
41001010025P2,6
33001014008P4,5
32018010044P4,4
42002010036P3,3
32006012017P2,5
32002017027P2,5
53001010054P6,6
33004153073P2,5
33003017005P8,7
33149011002P1,2
28013018005P5,2
32003013008P4,3
33009015079P0,4
22002014002P1,4
40015017173P2*,3
31021018009P9,5
42007011006P5,5
41005015010P7,4
25004018011P1,5
33002010176P0,5
33002010214P0,5
33002029052P5,3
33002045004P1,7
40006018171P4,3
40006018182P6,3
25019015001P0,3
30004012075P4,3
24007013002P9,4
33083010005P2,3
33011010015P6,3
33024014032P5,3
42008018038P0,3
20002017004P9,3
51001012038P1,3
15001016092P4,3
25001019062P6,4
23001011071P0,4
53001010098P3,4
42046017016P1,4
42009014011P1,4
40006018011P7,3
40006018025P8,4
33139016001P3,6
32053010003P1,4
31001017138P0,7
53019016005P4,3
32008015016P9,4
31005012029P1,5
42005019017P4,7
33005010021P0,5
33106010003P1,5
40002012048P2,4
40002012034P1,4
40005011015P6,5
31004016033P2,6
26001012171P2,4
12001015176P5,3
28001010041P0,4
28001010024P9,6
28001010093P0,4
22001018085P8,4
22001018063P4,5
30001013108P0,4
30001013057P7,5
31003010063P6,4
31003010172P0,4
31003010040P6,7
31003010088P9,5
52001016037P8,5
32005016019P9,5
20001010046P7,4
32001010028P2,6
32001010052P0,7
32001010172P6,5
51001012031P7,5
50001019175P6,4
32007019049P8,5
15001016158P5,5
15001016062P8,5
24001015049P7,5
24001015053P4,4
25001019077P3,5
25001019054P3,5
21001014026P9,4
40001016071P8,5
28022017012P7,4
42001013176P0,5
42001013062P4,6
42001013173P0,4
31001017064P6,7
23001011053P1,5
13001019040P9,4
27001016041P4,4
41001010052P0,5
41001010073P7,5
33001014052P3,5
33001014030P0,4
42002010031P1,6
16003012161P1,5
33017018004P9,4
53001010018P0,6
53001010019P6,6
33004056081P4,4
33004110043P4,7
33003017044P3,4
33063010004P6,5
10001018046P9,3
31021018008P2,5
33065012002P2,4
33002010195P5,5
33002010096P7,6
33002010212P7,5
33002010226P8,4
33301000001P0,4
31011012017P0,3
33024014033P1,3
31055010001P2,4
53003012010P8,5
41002016025P5,4
24004014071P1*,3
22033017002P3,4
22042008001P7,4
20001010182P8,3
20001010048P0,4
24001015068P1,4
31001017166P3,4
23001011080P9,4
27001016175P0,5
33001014077P6,3
32006012033P8,4
25002015008P8,4
42046017014P9,4
31021018018P8,4
31021018019P4,5
41004019006P3,3
33110018004P1,4
33002010248P1,4
42051010001P4,4
26006014003P4,3
15013014001P3,4
33105014001P2,4
32083017001P4,4
33177015001P8,2
33254010001P6,4
26017008001P4,3
33136017001P4,5
35110007001P2,3
32079010001P4,4
30010012001P7,5
33145016001P0,5
31011012015P7,5
32040016001P8,4
43002005001P9,4
33142017001P0,3
32053010002P5,4
41006011015P5,4
42004012027P3,4
35019000001P6,3
53019016001P9,5
33024014018P2,6
32008015005P7,6
33006016018P1,4
40003019006P4,6
31005012020P4,6
42005019023P4,5
42005019013P9,6
33005010019P5,5
53003012008P3,4
31019013002P3,4
42008018004P9,4
28003012007P6,4
53032012001P8,4
12008010002P5,4
40002012002P2,4
40031012001P5,5
31004016015P4,7
26001012018P0,4
12001015174P2,4
28001010015P0,6
22001018011P4,5
23003014073P5,4
30001013027P0,4
31003010080P8,5
31003010158P7,5
52001016041P5,4
52060004008P7,3
32005016036P0,4
20001010029P5,4
32001010027P6,7
51001012101P5,4
50001019025P4,4
32007019052P9,4
15001016003P1,6
24001015037P9,4
25001019029P9,5
42003016057P3,4
21001014083P2,4
40001016017P3,7
42001013042P3,7
31001017130P9,6
23001011034P7,4
27001016035P4,4
41001010011P1,6
42002010057P0,4
